NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
210062064731;2024;3;F;1;1;1;2;0;1;0;1508209;Vigia;15;PA;B;B;A;A;6;A;A;A;B;D;A;B;B;A;B;A;A;B;A;A;A;C;A
210062064732;2024;4;F;1;3;1;2;0;1;0;1500800;Ananindeua;15;PA;D;D;C;C;4;A;C;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064733;2024;15;F;1;3;1;1;1;;0;1302603;Manaus;13;AM;A;B;F;B;5;B;B;A;C;C;A;A;B;B;B;A;A;B;A;B;B;C;F
210062064734;2024;4;M;1;4;2;1;2;;0;3302007;Itaguaí;33;RJ;E;E;C;B;5;B;B;A;B;C;A;A;B;A;B;B;A;B;A;B;A;C;C
210062064735;2024;2;M;1;3;1;2;0;1;0;3123700;Engenheiro Caldas;31;MG;H;H;B;B;4;A;C;A;B;C;A;B;B;A;A;B;A;B;A;B;A;B;A
210062064736;2024;3;F;1;3;1;2;0;1;0;1502202;Capanema;15;PA;D;E;A;B;5;A;B;A;B;B;A;A;B;A;A;A;A;A;A;B;B;B;A
210062064737;2024;5;F;1;1;1;2;0;;0;4323002;Viamão;43;RS;H;E;C;B;1;B;B;A;B;B;A;A;A;A;A;A;A;A;A;A;A;B;A
210062064738;2024;2;M;1;3;1;2;0;1;0;4122206;Rio Branco do Sul;41;PR;H;H;F;F;5;A;C;A;C;D;C;D;B;A;B;A;A;A;A;B;B;E;A
210062064739;2024;13;F;1;3;1;3;0;;1;3170206;Uberlândia;31;MG;D;C;A;B;3;A;A;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064740;2024;1;M;1;3;1;3;0;;1;3502804;Araçatuba;35;SP;E;E;B;B;4;A;E;A;C;C;B;A;B;A;B;B;A;C;B;B;B;E;A
210062064741;2024;3;M;1;3;1;2;0;1;0;3518800;Guarulhos;35;SP;E;E;C;F;5;A;E;A;D;D;B;C;B;B;A;B;A;C;A;B;B;E;A
210062064742;2024;7;M;1;2;1;1;4;;0;3164704;São Sebastião do Paraíso;31;MG;D;E;C;C;4;B;F;A;C;D;A;B;B;A;B;B;A;B;A;B;A;D;A
210062064743;2024;2;F;1;2;1;2;0;1;0;3516309;Francisco Morato;35;SP;E;E;F;F;6;B;D;A;B;C;A;A;B;A;B;B;B;D;A;B;A;E;A
210062064744;2024;13;M;2;3;1;1;0;;0;3106705;Betim;31;MG;C;E;C;B;1;B;G;A;B;C;B;B;B;A;B;B;B;C;A;B;B;B;A
210062064745;2024;12;M;2;3;1;1;0;;0;1505809;Portel;15;PA;A;A;A;A;3;B;B;A;B;A;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064746;2024;12;F;1;3;1;1;17;;0;3550308;São Paulo;35;SP;E;B;B;B;4;B;E;A;B;C;B;A;B;A;B;B;A;B;A;B;B;E;A
210062064747;2024;15;F;1;1;1;1;18;;0;4306767;Eldorado do Sul;43;RS;B;B;C;B;3;B;D;A;B;B;A;A;B;A;A;B;A;B;A;A;A;C;A
210062064748;2024;11;M;2;3;1;1;11;;0;3522406;Itapeva;35;SP;A;C;B;B;2;B;I;A;B;B;B;A;B;A;B;B;A;B;B;B;C;C;A
210062064749;2024;3;M;1;3;1;1;1;;0;2105401;Itapecuru Mirim;21;MA;D;G;A;D;4;A;C;A;B;D;A;B;B;A;A;A;A;B;A;B;B;B;A
