NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA;CO_PROVA;VL_PERC_COMP1;VL_PERC_COMP2;VL_PERC_COMP3;VL_PERC_COMP4;VL_PERC_COMP5;NU_NOTA_OBJETIVA;TX_RESPOSTAS_OBJETIVA;TX_GABARITO_OBJETIVA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;IN_QSE;Q1;Q2;Q3;Q4;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q16_8;Q16_9;Q16_10;Q17_1;Q17_2;Q17_3;Q17_4;Q17_5;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30_1;Q30_2;Q30_3;Q30_4;Q31;Q32;Q33_1;Q33_2;Q33_3;Q33_4;Q33_5;Q33_6;Q33_7;Q34_1;Q34_2;Q34_3;Q34_4;Q34_5;Q34_6;Q34_7;Q35;Q36;Q37;Q38;Q39;Q40;Q41;Q42_1;Q42_2;Q42_3;Q42_4;Q42_5;Q43_1;Q43_2;Q43_3;Q43_4;Q43_5;Q44_1;Q44_2;Q44_3;Q44_4;Q44_5;Q44_6;Q44_7;Q44_8;Q44_9;Q44_10;Q44_11;Q44_12;Q44_13;Q44_14;Q44_15;Q44_16;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q46;Q47_1;Q47_2;Q47_3;Q47_4;Q47_5;Q47_6;Q47_7;Q48_1;Q48_2;Q48_3;Q48_4;Q48_5;Q48_6;Q48_7;Q48_8;Q48_9;Q48_10;Q48_11;Q48_12;Q49;Q50;Q51;Q52;Q53;Q54_1;Q54_2;Q54_3;Q54_4;Q54_5;Q54_6;Q54_7;Q54_8;Q55;Q56;Q57_1;Q57_2;Q57_3;Q57_4;Q57_5;Q57_6;Q57_7;Q58_1;Q58_2;Q58_3;Q58_4;Q58_5;Q58_6;Q58_7;Q58_8;Q58_9;Q58_10;Q59_1;Q59_2;Q60_1;Q60_2;Q61_1;Q61_2;Q62_1;Q62_2;Q63_1;Q63_2;Q64_1;Q64_2;Q64_3;Q64_4;Q64_5;Q64_6;Q64_7;Q64_8;Q64_9;Q64_10;Q64_11;Q64_12;Q64_13;Q65_1;Q65_2;Q65_3;Q66;Q67;Q68;Q69_1;Q69_2;Q69_3;Q69_4;Q69_5;Q69_6;Q69_7;Q69_8;Q70;Q71_1;Q71_2;Q71_3;Q71_4;Q71_5;Q71_6;Q72_1;Q72_2;Q72_3;Q72_4;Q72_5;Q72_6;Q72_7;Q73_1;Q73_2;Q73_3;Q73_4;Q73_5;Q73_6
837;2002;7;M;1100064;COLORADO DO OESTE;11;RO;1100064;COLORADO DO OESTE;11;RO;2;1;1;1;A;21.21;17.65;16.67;21.21;22.22;19.05;DEEBCCCBEBADADBDCCBBCEDABDAECADABACCCEEEDDABACBDAEBDBEACDCAACEA;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;25;25;25;25;25;25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
838;2002;3;F;1100064;COLORADO DO OESTE;11;RO;1100064;COLORADO DO OESTE;11;RO;2;1;1;1;R;24.24;25.49;23.81;24.24;24.44;22.22;BCCEDABBCAECDBCBDCBBDEBCCABCEDCDEDCEEBAEEEBCCAACBBCCDCDCBBBDBBB;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;B;0;0;0;0;0;0;1;A;B;D;A;E;B;B;B;B;B;B;A;B;D;E;B;B;C;D;G;K;D;A;F;A;F;A;A;F;A;F;A;B;B;A;A;B;B;B;A;B;C;B;C;A;B;C;D;A;A;B;B;A;B;B;.;.;.;.;.;.;B;A;B;A;A;A;A;A;C;A;A;B;C;A;A;A;B;B;B;B;B;A;B;B;A;7;7;3;5;5;2;2;4;7;7;7;6;6;7;8;5;A;A;B;B;B;B;A;A;C;A;A;B;A;B;A;B;6;7;7;3;7;8;6;6;5;5;5;6;H;G;D;F;B;A;B;B;B;B;B;A;A;A;B;B;B;B;A;B;B;B;A;B;A;B;B;B;A;B;A;B;C;D;F;E;B;C;B;F;F;D;A;B;B;B;A;A;A;A;B;A;B;B;A;D;E;B;B;A;B;5;7;7;2;3;2;4;2;.;.;.;.;.;.;.;.;.;.;.;.;A;.;.;A;.;.;.;B
839;2002;2;M;1100304;VILHENA;11;RO;1100304;VILHENA;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
840;2002;2;M;1100056;CEREJEIRAS;11;RO;1100056;CEREJEIRAS;11;RO;4;1;1;1;A;36.36;35.29;26.19;36.36;40;34.92;DBBBEDCCBACAACDBADDEBECECCEBABAAAAACABDCAAADAADDDABCBDBCCBECEAB;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;62.5;50;50;50;50;52.5;1;B;A;B;A;A;B;A;A;B;B;A;B;B;D;E;B;D;D;K;C;A;D;A;A;A;A;A;A;F;A;F;A;A;B;A;A;A;A;B;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;A;C;A;B;A;B;A;A;A;A;A;B;B;5;4;8;0;8;0;0;1;5;6;7;7;3;3;0;1;A;A;B;B;B;A;A;A;B;A;B;A;A;B;A;B;6;6;6;*;8;8;3;3;4;7;4;8;H;G;E;A;A;A;B;B;B;B;B;A;B;C;D;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;C;F;A;A;A;A;H;E;F;B;B;B;A;A;A;A;A;B;B;A;B;A;F;E;*;G;C;D;5;3;2;2;8;6;3;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
841;2002;2;F;1100056;CEREJEIRAS;11;RO;1100056;CEREJEIRAS;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
842;2002;2;F;1100056;CEREJEIRAS;11;RO;1100056;CEREJEIRAS;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843;2002;6;F;1100064;COLORADO DO OESTE;11;RO;1100064;COLORADO DO OESTE;11;RO;2;1;1;1;V;42.42;27.45;30.95;30.3;33.33;31.75;EDEBAACCCADACDCBEEDDEAACBDBDEEECCEADBADADEDBAEDAEDDBEEAAADCEEEA;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;50;37.5;50;50;50;47.5;1;A;E;B;A;B;.;.;.;.;.;.;.;A;B;E;B;B;A;H;*;H;H;.;.;.;.;.;.;.;A;.;.;B;A;A;A;B;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;E;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;D;A;.;A;.;.;.;.;A;.;.;.;.;B;.;.;.;9;4;1;5;6;0;1;5;7;8;3;9;8;7;8;7;A;A;A;B;A;B;A;B;A;A;A;B;A;A;B;B;8;*;*;1;9;2;3;4;7;8;9;7;I;G;E;A;A;A;B;B;A;B;B;B;B;A;D;B;B;B;A;B;B;B;A;B;A;A;C;A;A;C;A;C;B;E;F;C;B;A;F;B;D;F;A;B;A;A;A;A;A;A;B;A;B;A;A;B;*;E;C;A;E;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
844;2002;2;F;1100056;CEREJEIRAS;11;RO;1100056;CEREJEIRAS;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
845;2002;6;M;1100056;CEREJEIRAS;11;RO;1100056;CEREJEIRAS;11;RO;2;1;1;1;V;42.42;31.37;40.48;45.45;37.78;38.1;CABEBDCEAABBCCDAEACBBBDADBEABCDCECEADACADEBDAECBABCDBEACDABEDBC;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;25;37.5;37.5;25;37.5;32.5;1;B;E;B;A;A;.;.;A;.;.;A;.;.;F;E;B;C;*;E;E;E;B;A;.;A;.;.;A;.;A;.;A;A;B;A;A;B;.;D;A;B;B;B;B;A;B;I;I;.;B;B;B;A;A;A;A;B;B;A;B;B;A;B;.;.;.;B;.;.;F;A;A;A;B;A;A;B;B;B;A;A;B;B;.;B;A;6;6;4;6;0;0;1;;6;7;5;7;5;3;9;6;A;A;B;B;A;A;A;B;B;A;B;B;A;B;A;A;3;4;5;.;.;.;6;.;6;6;.;4;H;G;C;D;C;B;.;B;A;A;A;.;B;B;D;B;A;B;A;.;A;.;C;B;B;A;B;C;.;B;C;A;E;C;C;C;B;C;H;D;E;B;B;A;B;A;B;.;A;B;A;A;A;A;.;B;D;D;D;B;C;5;6;6;.;7;5;6;5;B;A;.;A;A;A;A;B;B;B;A;B;A;.;B;B;B;A;B;A
846;2002;5;M;1100064;COLORADO DO OESTE;11;RO;1100064;COLORADO DO OESTE;11;RO;1;2;1;1;A;33.33;47.06;35.71;30.3;42.22;41.27;CCCBCEBCACAECBDACAAEBBEBBCBCEADEABCEBADACBADBCDEECAECDAACBEACBE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;62.5;62.5;50;50;55;1;B;D;A;A;A;B;B;B;B;B;B;B;A;E;E;A;B;A;H;A;H;C;A;F;A;F;F;A;F;A;A;F;A;B;A;A;B;B;D;A;E;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;B;B;B;B;B;B;B;A;A;B;B;B;A;A;A;D;B;B;A;C;B;B;B;B;B;B;B;B;B;B;6;6;4;5;8;0;0;4;6;8;6;7;7;8;0;7;A;A;A;B;A;B;A;A;A;A;A;B;A;B;B;B;7;8;9;6;6;7;4;4;2;7;7;6;G;G;C;F;C;A;B;B;A;B;B;A;A;B;B;B;B;B;A;B;B;B;A;B;A;A;A;A;A;B;A;A;D;B;*;C;B;C;B;F;D;E;B;B;B;B;B;A;A;A;B;A;B;B;A;E;B;G;*;A;A;.;.;.;.;.;.;.;.;A;A;B;B;B;B;B;.;.;.;.;.;.;.;A;A;A;B;B;B
847;2002;14;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;V;18.18;21.57;26.19;30.3;24.44;25.4;EBABDBCEDCADCDCBADBBDADCDBDCDEECBEECABBABCCACACCAEDBCB*BAEBD;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;B;0;0;0;0;0;0;1;A;*;B;B;A;B;B;B;A;A;B;B;B;F;D;B;A;B;D;G;H;B;*;F;A;F;.;*;F;A;F;F;A;B;B;A;B;C;D;A;B;B;B;A;D;B;E;B;.;.;.;.;.;D;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;B;C;C;A;A;B;A;B;B;B;B;B;A;B;B;7;6;8;7;3;2;3;2;5;8;7;6;5;7;8;5;A;B;A;B;A;A;A;B;C;B;A;B;A;B;B;A;6;5;6;7;4;3;5;7;3;5;6;5;H;J;B;I;D;A;B;B;B;B;A;A;B;A;.;.;.;.;.;.;.;.;C;B;B;A;B;A;A;B;A;A;A;D;F;E;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;*;*;*;*;B;F;6;5;4;3;2;5;7;6;B;B;A;B;A;A;A;A;A;B;B;A;A;A;A;B;B;A;A;A
848;2002;6;M;1101401;MONTE NEGRO;11;RO;1101401;MONTE NEGRO;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849;2002;3;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;B;21.21;25.49;23.81;30.3;24.44;25.4;BDBBACABDDBBBABBCEDABACAABCEBCBEACABCEEBBDCDBEBCBCAACDBAAEBABEA;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;37.5;37.5;25;37.5;50;37.5;1;A;B;A;A;A;B;A;A;B;B;A;B;B;D;E;B;B;C;G;E;B;C;A;A;B;F;F;B;F;A;A;B;A;B;A;A;B;A;D;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;C;A;A;A;C;A;B;B;A;B;B;A;B;B;B;C;B;8;7;2;7;.;8;2;1;6;0;8;9;7;7;0;8;A;A;A;B;A;B;A;A;A;A;B;A;A;B;A;B;6;9;6;7;6;9;8;7;6;7;9;7;J;J;A;F;C;A;B;B;A;A;B;A;A;C;B;B;B;B;A;B;B;B;B;B;C;B;C;B;B;A;A;C;B;A;F;D;B;C;F;B;F;B;B;B;B;A;A;A;A;A;B;B;B;B;A;F;C;E;B;A;E;1;1;8;1;8;8;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
850;2002;4;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
851;2002;12;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
852;2002;5;F;1101203;MINISTRO ANDREAZZA;11;RO;1101203;MINISTRO ANDREAZZA;11;RO;2;1;1;1;V;24.24;31.37;26.19;36.36;28.89;30.16;BDBACABADDDACCCEADEEAADDEBCDDAECDAEEEEECBCEBAEBDABBCCEEAABBDECE;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;50;50;50;50;50;50;1;A;D;A;A;A;B;A;A;B;B;A;B;B;C;E;B;B;D;E;G;H;C;A;F;A;F;B;A;F;A;A;F;A;B;A;A;B;B;B;A;A;E;D;B;H;B;G;H;D;B;B;B;A;A;B;B;B;B;B;B;B;B;B;A;A;B;A;A;A;B;A;A;D;B;A;A;B;B;B;B;A;B;B;C;C;A;3;2;0;1;5;0;0;1;3;3;3;2;0;1;3;0;B;B;B;B;B;B;B;B;C;A;B;A;B;B;B;B;6;2;2;3;3;2;*;*;*;2;1;1;E;B;B;F;D;A;B;B;A;A;B;A;B;C;B;B;B;B;A;B;B;B;B;C;B;A;B;B;B;A;B;C;B;D;F;E;B;A;F;A;F;E;A;B;B;A;A;A;A;A;B;A;B;B;A;E;B;*;B;A;F;.;*;7;8;8;8;7;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
853;2002;4;M;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;V;30.3;27.45;28.57;21.21;35.56;28.57;EDDBCBCACCEBBBABCCCAEDDDEECABBEACBAAACADBACBECBDDEDEEBDDDCBBCDE;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;50;50;50;50;50;50;1;B;C;B;A;A;B;B;A;B;B;A;B;B;C;E;B;E;C;H;C;H;A;A;F;F;F;F;F;F;A;F;F;A;B;A;A;B;A;B;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;A;A;A;B;.;A;B;B;B;B;B;A;B;A;B;C;C;9;8;9;6;8;0;0;7;6;8;7;6;7;6;7;8;A;A;B;B;B;A;A;A;B;A;B;B;A;B;A;B;8;7;6;*;8;7;8;9;*;*;9;7;I;H;A;F;D;B;A;B;B;B;B;B;B;C;B;B;B;B;B;B;B;B;C;B;B;B;A;B;B;B;B;A;B;C;F;C;B;D;A;F;F;B;B;B;A;A;A;A;A;A;B;A;B;A;A;B;C;E;E;A;B;5;6;8;7;4;3;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
854;2002;13;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;A;27.27;33.33;26.19;36.36;24.44;28.57;AAEA DABEEADECBABCBCBEDEBCDCDBCECCCDBACABECCAECBDABECEEADCDDCBD;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;25;25;25;25;37.5;27.5;1;A;*;B;B;A;B;B;B;A;A;B;B;B;D;C;B;C;I;J;G;I;C;A;A;A;A;A;A;F;A;A;A;A;B;A;A;B;C;.;A;.;D;B;D;A;B;A;B;C;A;A;A;A;B;B;B;A;A;A;B;B;A;A;A;B;B;B;A;A;D;B;A;D;B;B;B;B;B;B;B;B;B;C;B;C;B;4;3;5;4;3;2;3;4;5;6;7;6;5;4;3;1;B;A;A;B;B;A;A;B;C;B;A;A;A;B;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;*;*;*;*;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
855;2002;4;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;R;30.3;27.45;23.81;18.18;31.11;26.98;CEEBACDECBCAABCCBCCCABDEECABCDCABEEEBBAEBCABDCDDBCBBBDADCDEACDC;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;N;0;0;0;0;0;0;1;A;C;B;A;A;B;B;A;B;B;A;A;B;C;E;C;C;C;D;E;E;C;B;F;B;F;F;B;F;B;F;B;A;B;A;A;B;A;B;A;B;E;B;B;H;.;.;.;.;A;A;B;A;D;A;B;B;B;B;B;B;B;B;B;A;B;A;A;B;B;A;B;A;C;A;B;B;A;B;B;B;A;A;B;A;B;9;9;8;7;7;0;0;7;8;9;0;0;9;7;0;7;A;A;A;B;B;A;A;A;A;A;A;B;A;B;A;B;9;9;9;9;*;9;8;*;5;*;9;9;J;I;F;F;B;A;B;B;B;B;B;A;A;D;B;B;B;B;A;B;B;B;A;A;A;A;B;A;A;B;A;B;A;E;D;B;A;A;A;F;F;E;B;B;B;A;A;A;A;A;B;B;B;B;A;E;*;C;B;A;B;1;3;3;2;2;1;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
856;2002;12;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;A;39.39;37.25;28.57;33.33;28.89;33.33;DDCDEDCCECAACABAECACEBCEBBDBEBBECEDCEDDADACCBDDDEEBDDDAACEEDBAE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;62.5;50;50;50;75;57.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
857;2002;7;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;R;33.33;37.25;26.19;42.42;40;34.92;CBBBADCDAADAABEBBCBBDDBAECCEDDABBEBECBDEBBEDBAACABABBEDAACEAEBC;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;37.5;37.5;25;37.5;37.5;35;1;A;F;B;A;A;B;A;A;B;A;A;B;B;F;A;C;B;C;D;G;G;C;B;A;A;F;F;A;F;A;F;A;A;B;A;A;B;B;B;A;D;C;A;C;H;.;.;.;.;A;B;B;B;C;B;.;.;.;.;.;.;.;A;B;A;A;A;A;A;B;A;B;C;C;A;B;A;B;B;B;B;B;B;B;B;B;3;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;A;B;B;.;B;B;B;B;C;A;B;A;B;A;B;A;5;5;5;5;8;*;*;*;*;5;*;*;G;L;F;G;D;A;B;B;B;B;B;B;A;D;A;B;B;B;B;B;B;B;C;C;.;C;B;B;A;C;A;C;E;C;F;E;A;B;A;B;D;B;B;B;B;B;A;A;A;A;B;A;B;A;A;B;C;E;B;B;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
858;2002;2;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;4;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
859;2002;3;F;1100205;PORTO VELHO;11;RO;1100205;PORTO VELHO;11;RO;2;1;1;1;V;27.27;31.37;30.95;30.3;22.22;30.16;BDBEAEDEBBEABEEEADBEDAADDEEDDAEDBEAECEAEACDBBBEAEBDEACEEACEEBCB;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;37.5;50;50;50;50;47.5;1;A;B;A;A;A;B;B;A;B;B;A;B;B;C;E;I;E;J;K;E;E;B;B;F;A;F;F;A;F;A;F;F;A;B;B;A;B;A;C;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;A;A;A;A;B;B;B;A;B;B;C;B;A;8;8;1;2;4;0;0;5;6;7;2;1;7;7;6;6;B;A;B;B;B;B;B;A;A;A;A;B;A;B;A;B;3;1;5;1;7;7;6;6;2;1;5;6;I;G;F;F;A;A;B;B;A;B;B;B;A;C;D;B;B;B;A;B;A;A;B;B;A;A;B;A;A;A;A;B;C;B;E;C;B;C;B;F;D;A;A;A;B;A;A;A;A;A;B;A;B;B;A;E;G;D;D;A;F;3;2;4;4;2;5;3;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
